"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"30-Sep-2022","EQ","524.00","536.90","516.15","521.75","531.55","530.60","528.17","578.50","425.00",17466950,"9,225,477,677.20",199404
"29-Sep-2022","EQ","529.00","535.70","519.55","524.85","524.00","521.75","525.18","578.50","425.00",17310168,"9,090,986,645.60",215284
"28-Sep-2022","EQ","532.90","539.80","520.35","536.50","523.50","524.85","532.17","578.50","425.00",12233485,"6,510,284,800.40",183919
"27-Sep-2022","EQ","544.55","550.90","533.20","543.30","538.00","536.50","542.40","578.50","425.00",11066799,"6,002,626,270.30",154979
"26-Sep-2022","EQ","545.80","549.00","533.00","550.60","545.30","543.30","541.37","578.50","425.00",16158750,"8,747,941,723.25",274214
"23-Sep-2022","EQ","564.80","568.00","549.50","567.30","550.90","550.60","555.53","578.50","425.00",12563239,"6,979,215,908.20",282839
"22-Sep-2022","EQ","566.75","574.00","562.00","569.70","567.50","567.30","567.39","578.50","425.00",11869435,"6,734,594,427.30",181550
"21-Sep-2022","EQ","575.00","577.30","565.40","574.05","569.00","569.70","570.45","578.50","425.00",9392526,"5,357,998,661.95",174676
"20-Sep-2022","EQ","577.95","577.95","572.85","572.25","573.60","574.05","575.50","578.50","425.00",8484017,"4,882,536,374.35",176912
"19-Sep-2022","EQ","560.70","574.40","559.55","561.80","572.50","572.25","569.54","578.50","425.00",11194003,"6,375,398,054.40",163866
"16-Sep-2022","EQ","569.10","574.00","560.30","572.15","562.50","561.80","564.61","578.50","425.00",14739280,"8,321,982,741.65",231709
"15-Sep-2022","EQ","572.55","578.50","567.90","571.75","571.50","572.15","573.50","578.50","425.00",12749947,"7,312,060,768.80",224387
"14-Sep-2022","EQ","550.00","574.85","549.25","558.00","572.30","571.75","567.79","574.85","425.00",21632641,"12,282,852,152.30",301335
"13-Sep-2022","EQ","560.00","560.00","553.75","554.90","557.10","558.00","557.73","560.00","425.00",16707275,"9,318,085,634.25",148044
"12-Sep-2022","EQ","554.90","558.60","551.25","553.35","554.95","554.90","555.63","558.60","425.00",9677415,"5,377,080,074.60",127479
"09-Sep-2022","EQ","549.65","557.00","548.00","544.65","551.95","553.35","553.57","557.00","425.00",18587927,"10,289,692,790.20",267586
"08-Sep-2022","EQ","536.00","546.30","535.50","532.85","545.25","544.65","541.55","549.00","425.00",12240707,"6,628,912,370.75",141256
"07-Sep-2022","EQ","534.40","537.45","531.55","537.80","532.10","532.85","534.25","549.00","425.00",8445359,"4,511,895,645.90",106610
"06-Sep-2022","EQ","538.00","542.70","534.10","538.90","537.30","537.80","539.43","549.00","425.00",8657868,"4,670,346,677.00",108579
"05-Sep-2022","EQ","537.00","540.80","536.30","536.70","538.75","538.90","539.17","549.00","425.00",7819994,"4,216,330,099.55",106157
"02-Sep-2022","EQ","537.00","537.85","531.25","533.30","535.00","536.70","535.36","549.00","413.50",10017930,"5,363,164,755.20",124824
"01-Sep-2022","EQ","522.25","540.90","522.25","531.25","534.25","533.30","535.06","549.00","413.50",16670228,"8,919,650,119.40",218023
"30-Aug-2022","EQ","518.20","532.50","517.95","514.85","531.00","531.25","528.36","549.00","413.50",14835308,"7,838,353,166.55",166014
"29-Aug-2022","EQ","511.30","517.00","508.75","523.80","515.00","514.85","513.62","549.00","413.50",9421339,"4,838,957,049.45",143380
"26-Aug-2022","EQ","523.80","529.50","522.20","520.40","524.30","523.80","525.17","549.00","401.25",12855886,"6,751,514,077.25",128630
"25-Aug-2022","EQ","521.95","528.30","518.50","519.30","520.15","520.40","523.90","549.00","401.25",15473450,"8,106,540,162.80",167210
"24-Aug-2022","EQ","519.00","523.00","512.30","521.90","520.40","519.30","517.90","549.00","401.25",11930650,"6,178,850,761.40",143063
"23-Aug-2022","EQ","508.25","524.00","508.25","511.30","523.00","521.90","517.45","549.00","401.25",8597965,"4,448,995,522.90",130274
"22-Aug-2022","EQ","519.00","519.90","510.00","520.35","511.10","511.30","513.09","549.00","401.25",9676954,"4,965,152,207.80",165588
"19-Aug-2022","EQ","532.00","533.65","518.50","532.35","520.05","520.35","523.18","549.00","401.25",11087222,"5,800,622,525.65",146387
"18-Aug-2022","EQ","526.85","534.80","526.20","528.15","532.00","532.35","531.57","549.00","401.25",9013662,"4,791,385,825.20",120443
"17-Aug-2022","EQ","528.85","530.55","524.35","525.95","527.80","528.15","526.89","549.00","401.25",12054183,"6,351,246,080.75",159055
"16-Aug-2022","EQ","533.30","533.85","525.00","530.70","526.60","525.95","527.74","549.00","401.25",10721167,"5,657,979,793.75",145707
"12-Aug-2022","EQ","525.70","531.80","525.15","524.75","531.00","530.70","529.76","549.00","401.25",12154012,"6,438,750,910.60",160036
"11-Aug-2022","EQ","520.00","526.00","517.20","514.70","524.50","524.75","521.76","549.00","401.25",13862195,"7,232,693,557.90",192485
"10-Aug-2022","EQ","521.55","523.50","513.40","520.40","513.90","514.70","516.46","549.00","401.25",16904151,"8,730,379,353.15",247601
"08-Aug-2022","EQ","524.00","524.00","513.85","531.05","520.10","520.40","518.01","549.00","401.25",32566317,"16,869,712,451.35",416603
"05-Aug-2022","EQ","535.55","542.90","529.00","533.25","532.35","531.05","537.29","549.00","401.25",21110734,"11,342,675,873.75",205564
"04-Aug-2022","EQ","543.65","544.00","524.20","540.85","532.30","533.25","532.95","549.00","401.25",18072293,"9,631,594,662.25",201817
"03-Aug-2022","EQ","541.90","546.40","534.65","542.10","540.50","540.85","542.04","549.00","401.25",24262125,"13,151,082,595.40",253745
"02-Aug-2022","EQ","531.90","544.90","531.10","533.75","540.00","542.10","541.38","549.00","401.25",16845027,"9,119,556,236.75",230932
"01-Aug-2022","EQ","529.05","535.00","526.40","528.35","533.35","533.75","532.31","549.00","401.25",8295631,"4,415,816,994.75",124805
